Date,ACA.PA,AI.PA,AIR.PA,ALO.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,ENGI.PA,GLE.PA,HO.PA,KER.PA,MC.PA,ML.PA,MT.PA,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,SU.PA,TEP.PA,TTE.PA,VIE.PA,VIV.PA,WLN.PA
2018-01-02,8.13938045501709,66.86913299560547,74.99492645263672,27.346342086791992,6471.82958984375,53.31874084472656,38.73830795288086,13.415800094604492,86.65890502929688,15.802763938903809,66.25337982177734,16.950586318969727,97.62789916992188,8.68017578125,29.469284057617188,78.75728607177734,297.1472473144531,212.7641143798828,23.039499282836914,27.16765022277832,161.4167938232422,9.07349681854248,41.273826599121094,108.35736846923828,411.0823974609375,68.3674087524414,79.39763641357422,51.99043655395508,36.99608612060547,58.01736068725586,101.76441955566406,28.790176391601562,14.952020645141602,6.689150333404541,40.63999938964844
2018-01-03,8.188904762268066,67.38105010986328,76.23654174804688,27.684728622436523,6564.892578125,53.674354553222656,39.08145523071289,13.456521034240723,88.40959167480469,15.783617973327637,65.97252655029297,17.157907485961914,97.93121337890625,8.716775894165039,29.609237670898438,78.18708038330078,300.6321105957031,214.04263305664062,23.298583984375,27.16765022277832,162.03712463378906,9.054749488830566,40.35829544067383,109.1476821899414,412.9467468261719,68.60400390625,79.78904724121094,52.21504211425781,37.624996185302734,58.79623031616211,102.10678100585938,29.10269546508789,15.086215019226074,6.834761142730713,41.13999938964844
2018-01-04,8.558876991271973,68.91679382324219,77.77721405029297,27.960161209106445,6657.95458984375,54.47061538696289,39.786468505859375,13.563879013061523,88.71595001220703,16.109119415283203,67.62652587890625,17.203977584838867,97.75788879394531,8.854023933410645,30.33633041381836,78.73999786376953,308.53125,216.5556182861328,23.6920108795166,27.16765022277832,163.49932861328125,9.057872772216797,40.58342742919922,109.18928527832031,413.6924743652344,69.52589416503906,82.6406478881836,52.88883972167969,38.424312591552734,59.85681915283203,103.98971557617188,29.677749633789062,15.291034698486328,6.900136470794678,41.97999954223633
2018-01-05,8.5443115234375,69.49270629882812,77.57783508300781,28.251327514648438,6756.33447265625,55.46787643432617,39.8613395690918,13.708251953125,89.72260284423828,16.278249740600586,68.84358978271484,17.380590438842773,99.10118103027344,8.902823448181152,30.773265838623047,78.87825775146484,311.164306640625,219.99440002441406,24.171802520751953,27.16765022277832,165.6260986328125,9.135985374450684,41.724082946777344,109.77164459228516,417.1413879394531,71.1412582397461,83.12522888183594,53.87416076660156,38.761085510253906,60.685401916503906,104.93119049072266,29.893396377563477,15.46054458618164,6.9982008934021,41.779998779296875
2018-01-08,8.637532234191895,70.26056671142578,78.50225067138672,28.290678024291992,6721.76953125,55.09679412841797,40.24192428588867,13.282530784606934,89.63507080078125,16.476104736328125,68.96845245361328,17.403627395629883,99.57785034179688,8.960771560668945,30.814226150512695,78.72273254394531,307.6019592285156,216.4674530029297,24.430889129638672,27.16765022277832,165.49317932128906,9.185977935791016,41.844154357910156,110.06281280517578,417.5143127441406,72.17737579345703,82.97611999511719,53.866912841796875,38.8828125,60.78484344482422,106.12942504882812,30.0246639251709,15.587677955627441,7.078433990478516,42.36000061035156
2018-01-09,8.67540454864502,70.32456970214844,78.73788452148438,28.290678024291992,6695.17919921875,55.019493103027344,40.8221549987793,13.197386741638184,91.3857421875,16.61651611328125,69.09326171875,17.545679092407227,99.05786895751953,8.954671859741211,30.84153175354004,78.75728607177734,312.40338134765625,216.9965057373047,24.91067886352539,27.16765022277832,166.86680603027344,9.195350646972656,42.75967788696289,110.97789764404297,418.44647216796875,73.06664276123047,83.59117126464844,53.78722381591797,39.38999557495117,61.71284866333008,109.12501525878906,30.190305709838867,15.488797187805176,7.369655132293701,42.7400016784668
2018-01-10,8.832714080810547,69.46070098876953,81.81017303466797,28.33002281188965,6652.63720703125,53.37285232543945,41.44606018066406,13.01229190826416,91.16690826416016,16.839900970458984,68.32868957519531,17.42282485961914,96.84791564941406,8.936371803283691,31.493528366088867,78.49810028076172,319.45074462890625,213.38134765625,24.728357315063477,27.16765022277832,165.6260986328125,9.017254829406738,41.844154357910156,109.68842315673828,419.1921691894531,71.86735534667969,83.47935485839844,53.13515853881836,39.09785842895508,61.116268157958984,108.86825561523438,30.09654426574707,14.796637535095215,7.381541728973389,42.619998931884766
2018-01-11,8.876412391662598,68.53284454345703,81.58360290527344,28.133285522460938,6652.63720703125,53.68208312988281,41.80168914794922,12.94565486907959,92.21731567382812,16.961164474487305,66.56546783447266,17.51112174987793,95.98125457763672,8.94857120513916,31.793920516967773,77.6687240600586,316.2755126953125,210.73609924316406,24.651592254638672,27.16765022277832,163.63221740722656,8.942268371582031,41.87417221069336,109.60523223876953,415.37030029296875,71.5491714477539,83.8707504272461,52.816383361816406,38.68804931640625,61.033409118652344,108.69708251953125,30.093412399291992,14.634194374084473,7.218101501464844,42.599998474121094
2018-01-12,8.867671966552734,68.98079681396484,81.92798614501953,28.17263412475586,6753.67578125,53.79804611206055,42.088680267333984,13.17147445678711,93.09265899658203,17.143062591552734,66.47184753417969,17.795236587524414,97.23789978027344,8.881473541259766,31.718820571899414,77.4095230102539,316.66278076171875,213.5135955810547,24.728357315063477,27.16765022277832,163.10052490234375,9.039128303527832,42.65462112426758,108.93971252441406,415.64996337890625,72.26712036132812,84.31804656982422,53.37424850463867,39.02888107299805,61.99456024169922,107.84119415283203,30.384063720703125,14.542374610900879,6.947682857513428,42.36000061035156
2018-01-15,8.90554428100586,69.17276000976562,81.56548309326172,28.046722412109375,6804.19580078125,53.47334671020508,42.132354736328125,13.256617546081543,93.04891204833984,17.101577758789062,65.98812866210938,17.852827072143555,97.02124786376953,8.835722923278809,31.650548934936523,77.20218658447266,312.5769348144531,214.04263305664062,24.565227508544922,27.16765022277832,163.45498657226562,9.04537582397461,43.675209045410156,108.64852905273438,415.9296569824219,72.24264526367188,83.7775650024414,53.03373336791992,38.8990364074707,61.795711517333984,107.41324615478516,30.362192153930664,14.535310745239258,7.134896755218506,43.2400016784668
