cluster_spectral,mu_ann,sigma_ann,sharpe_ann,beta_ewm,mdd_window,skew,kurt
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
