date,ticker,sigma_ann,VaR95,z_radius
2020-05-25,DG.PA,5.053754279504389,5.436230388983342,7.530831062228573
2020-05-26,DG.PA,5.053735275022906,5.436230388983342,7.530817933703711
2020-05-20,DG.PA,5.034724358824631,5.436230388983342,7.517698250279692
2020-05-19,DG.PA,5.032057365798036,5.436230388983342,7.515859850839524
2020-05-18,DG.PA,5.030655467696168,5.436230388983342,7.514893711202794
2020-05-28,DG.PA,5.028719444666056,5.436230388983342,7.513559709599747
2020-05-27,DG.PA,5.028522970006591,5.436230388983342,7.5134243457289625
2020-05-29,DG.PA,5.016390712742156,5.436230388983342,7.505071191163747
2020-06-02,DG.PA,5.0146389468291535,5.436230388983342,7.503865986583922
2020-06-01,DG.PA,5.011024109559511,5.436230388983342,7.501379718974764
2020-05-21,DG.PA,5.006126796678965,5.436230388983342,7.4980129174036785
2020-05-22,DG.PA,5.000627592173499,5.436230388983342,7.49423445157534
2020-06-03,DG.PA,4.988945188588399,5.436230388983342,7.486215023364649
2025-02-04,ATO.PA,5.565620662936496,4.828757153640803,7.475953638628056
2025-02-03,ATO.PA,5.5656194197467705,4.828757153640803,7.47595268588998
2025-02-05,ATO.PA,5.565502248128055,4.828757153640803,7.475862889980135
2025-02-06,ATO.PA,5.565476136439117,4.828757153640803,7.475842879077075
2025-01-31,ATO.PA,5.565174146054424,4.828757153640803,7.475611449244152
2025-01-30,ATO.PA,5.564928633037339,4.828757153640803,7.475423304723691
2025-01-24,ATO.PA,5.564895318100176,4.828757153640803,7.475397774690679
