date,ticker,sigma_ann,sharpe_ann,z_radius
2025-01-23,VIV.PA,5.499034130888125,-1.2550927140038404,5.722792904300395
2025-01-24,VIV.PA,5.499110889996499,-1.2543082228971494,5.7226917757432805
2025-01-14,VIV.PA,5.497650794056709,-1.250728091397408,5.720440582111318
2025-01-22,VIV.PA,5.500280825229307,-1.2388116190601082,5.7203738525358165
2025-01-08,VIV.PA,5.497591431210351,-1.2452998487307303,5.719162613580362
2025-01-10,VIV.PA,5.498584806339022,-1.2384618795321305,5.718617157202751
2025-01-15,VIV.PA,5.499869794518213,-1.2319200453058616,5.71843462849229
2025-01-13,VIV.PA,5.499477278475618,-1.2320083838308724,5.718065604622861
2025-01-17,VIV.PA,5.500127882047652,-1.229036071353058,5.718051327420489
2024-12-19,VIV.PA,5.4919542038500415,-1.263253831370654,5.717640383023613
2025-01-09,VIV.PA,5.499094472758536,-1.231571118283729,5.717589630943678
2025-01-16,VIV.PA,5.500325585093123,-1.2254107801962424,5.717446106324189
2024-12-20,VIV.PA,5.493283837711124,-1.2539058219580017,5.716836974127878
2025-01-21,VIV.PA,5.501740958037061,-1.214520754498089,5.716455859373076
2025-01-27,VIV.PA,5.507827243054761,-1.179953669831756,5.715036426413025
2025-01-20,VIV.PA,5.501914764378875,-1.2046735679089648,5.714482779301033
2024-12-23,VIV.PA,5.493808994324045,-1.2400183238764937,5.714237623062628
2024-12-24,VIV.PA,5.4943564621268495,-1.2348663891009894,5.713630960545583
2025-01-28,VIV.PA,5.508250222655753,-1.1696777608062567,5.713281302679655
2024-12-27,VIV.PA,5.49469583560583,-1.2305994704621428,5.713019208959968
